AUTH_CDT,MERCH_CAT_CD,TRAN_FRAUD,ZIP_CD,ECI_IND,APPROVED_AMT,DECLINE_RES1,AUTH_CD,ADFLAG,MCC_Description,ECI_Description,TRAN_FRAUD_N,TRAN_FRAUD_Y,ADFLAG_BINARY
2023-11-08,5815,N,J1H4K,7,12.64,0,04377E,approved,Digital Goods Media,Authentication Failed/Unavailable,1,0,1
2023-11-14,5968,N,J1H4K,0,81.63,0,02682E,approved,Direct Marketing - Other Direct Marketers,Authentication Failed/Unavailable,1,0,1
2023-11-23,5734,N,J1H4K,0,46.81,0,03584E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2023-11-28,5965,N,J1H4K,0,10.9,7,06519E,decline,Telephone Sales,Authentication Failed/Unavailable,1,0,0
2023-11-28,5965,N,J1H4K,0,2.23,0,06820E,approved,Telephone Sales,Authentication Failed/Unavailable,1,0,1
2023-12-04,5815,N,J1H4K,6,20.74,0,08217E,approved,Digital Goods Media,Authentication Attempted,1,0,1
2023-12-08,5815,N,J1H4K,7,12.64,0,04643E,approved,Digital Goods Media,Authentication Failed/Unavailable,1,0,1
2023-12-12,4899,N,J1H4K,0,18.96,0,07009E,approved,"Cable, Satellite, and Other Pay Television and Radio Services",Authentication Failed/Unavailable,1,0,1
2023-12-14,5968,N,J1H4K,0,80.37,0,06181E,approved,Direct Marketing - Other Direct Marketers,Authentication Failed/Unavailable,1,0,1
2023-12-16,7523,N,J1H4K,0,4.07,0,08725E,approved,Parking Lots and Garages,Authentication Failed/Unavailable,1,0,1
2023-12-16,7523,N,J1H4K,0,3.8,0,05697E,approved,Parking Lots and Garages,Authentication Failed/Unavailable,1,0,1
2023-12-16,7523,N,J1H4K,0,1.29,0,04150E,approved,Parking Lots and Garages,Authentication Failed/Unavailable,1,0,1
2023-12-23,5734,N,J1H4K,0,45.31,0,01220E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2024-01-02,7523,N,J1H4K,0,9.87,0,02849E,approved,Parking Lots and Garages,Authentication Failed/Unavailable,1,0,1
2024-01-02,7523,N,J1H4K,0,1.8,0,02131E,approved,Parking Lots and Garages,Authentication Failed/Unavailable,1,0,1
2024-01-08,5815,N,J1H4K,7,12.64,0,04393E,approved,Digital Goods Media,Authentication Failed/Unavailable,1,0,1
2024-01-12,4899,N,J1H4K,0,18.96,0,04387E,approved,"Cable, Satellite, and Other Pay Television and Radio Services",Authentication Failed/Unavailable,1,0,1
2024-01-15,5968,N,J1H4K,0,79.31,0,08856E,approved,Direct Marketing - Other Direct Marketers,Authentication Failed/Unavailable,1,0,1
2024-01-23,5734,N,J1H4K,0,45.77,0,04085E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2023-10-31,6300,N,89434,0,39.09,0,04574E,approved,"Insurance Sales, Underwriting, and Premiums",Authentication Failed/Unavailable,1,0,1
2023-11-06,9399,N,89434,0,8.0,0,01241E,approved,Government Services - Not Elsewhere Classified,Authentication Failed/Unavailable,1,0,1
2023-11-06,9399,N,89434,0,20.0,0,04402E,approved,Government Services - Not Elsewhere Classified,Authentication Failed/Unavailable,1,0,1
2023-11-13,3000,N,89434,0,27.52,8997,08027E,approved,Airlines,Authentication Failed/Unavailable,1,0,1
2023-11-27,6300,N,89434,0,13.83,7,07019E,decline,"Insurance Sales, Underwriting, and Premiums",Authentication Failed/Unavailable,1,0,0
2023-11-30,6300,N,89434,0,27.52,8997,01243E,approved,"Insurance Sales, Underwriting, and Premiums",Authentication Failed/Unavailable,1,0,1
2023-12-01,7997,N,89434,0,53.24,0,09095E,approved,"Membership Clubs (Sports, Recreation)",Authentication Failed/Unavailable,1,0,1
2023-10-31,5815,N,J9J3M,7,17.23,0,05425E,approved,Digital Goods Media,Authentication Failed/Unavailable,1,0,1
2023-11-01,4899,N,J9J3M,7,24.13,0,04963E,approved,"Cable, Satellite, and Other Pay Television and Radio Services",Authentication Failed/Unavailable,1,0,1
2023-11-02,5734,N,J9J3M,7,15.99,0,07566E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2023-11-13,4816,N,J9J3M,0,13.96,7,03738E,decline,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,0
2023-11-13,4816,N,J9J3M,0,8.59,0,08689E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2023-11-13,4816,N,J9J3M,0,31.15,0,08964E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2023-11-13,4816,N,J9J3M,0,6.3,0,04407E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2023-11-14,4814,N,J9J3M,0,27.52,0,00234E,approved,Telecommunication Services,Authentication Failed/Unavailable,1,0,1
2023-11-14,4816,N,J9J3M,0,22.99,0,04833E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2023-11-19,4899,N,J9J3M,7,27.52,0,02736E,approved,"Cable, Satellite, and Other Pay Television and Radio Services",Authentication Failed/Unavailable,1,0,1
2023-11-22,4816,N,J9J3M,0,119.11,8997,06986E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2023-11-29,5734,N,J9J3M,0,0.79,7,06885E,decline,Computer Software Stores,Authentication Failed/Unavailable,1,0,0
2023-11-29,5734,N,J9J3M,0,13.79,0,06924E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2023-11-29,5816,N,J9J3M,0,21.83,0,01588E,approved,Fast Food Restaurants,Authentication Failed/Unavailable,1,0,1
2023-11-30,5815,N,J9J3M,7,17.23,0,05503E,approved,Digital Goods Media,Authentication Failed/Unavailable,1,0,1
2023-11-30,4816,N,J9J3M,0,11.46,0,06545E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2023-12-01,4899,N,J9J3M,7,24.13,0,09046E,approved,"Cable, Satellite, and Other Pay Television and Radio Services",Authentication Failed/Unavailable,1,0,1
2023-12-02,5734,N,J9J3M,7,15.63,0,03461E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2023-12-03,4816,N,J9J3M,0,22.98,0,05351E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2023-12-03,4816,N,J9J3M,0,27.52,8997,05598E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2023-12-04,4816,N,J9J3M,0,26.43,0,06331E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2023-12-05,4816,N,J9J3M,0,55.18,0,06700E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2023-12-14,5734,N,J9J3M,7,44.83,0,05521E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2023-12-15,5816,N,J9J3M,0,2.0,0,04002E,approved,Fast Food Restaurants,Authentication Failed/Unavailable,1,0,1
2023-12-15,5732,N,J9J3M,0,25.53,7,07864E,decline,Electronics Stores,Authentication Failed/Unavailable,1,0,0
2023-12-15,5732,N,J9J3M,2,68.97,9009,07683E,approved,Electronics Stores,Authentication Successful,1,0,1
2023-12-18,8398,N,J9J3M,0,27.52,8997,04450E,approved,Charitable and Social Service Organizations,Authentication Failed/Unavailable,1,0,1
2023-12-19,4814,N,J9J3M,0,27.52,0,05495E,approved,Telecommunication Services,Authentication Failed/Unavailable,1,0,1
2023-12-26,5816,N,J9J3M,0,2.0,0,01293E,approved,Fast Food Restaurants,Authentication Failed/Unavailable,1,0,1
2023-12-26,5732,N,J9J3M,0,4.97,7,07782E,decline,Electronics Stores,Authentication Failed/Unavailable,1,0,0
2023-12-26,5732,N,J9J3M,2,46.67,8997,03945E,approved,Electronics Stores,Authentication Successful,1,0,1
2023-12-26,4816,N,J9J3M,0,0.28,7,02840E,decline,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,0
