AUTH_CDT,MERCH_CAT_CD,TRAN_FRAUD,ZIP_CD,ECI_IND,APPROVED_AMT,DECLINE_RES1,AUTH_CD,TSYS_PROD_CD,ADFLAG
2023-12-20,5967,N,,0,0,103,0,,decline
2023-12-20,5967,N,,0,0,103,0,,decline
2023-12-20,5967,N,,0,0,103,0,,decline
2023-12-20,5967,N,,0,0,103,0,,decline
2023-12-20,5967,N,,0,0,103,0,,decline
2023-12-20,5967,N,,0,0,103,0,,decline
2024-01-11,5967,N,,0,0,103,0,,decline
2023-12-05,5719,N,,0,0,103,0,,decline
2023-11-10,5812,N,,0,0,103,0,,decline
2023-11-13,5999,N,,0,0,103,0,,decline
2023-12-23,5999,N,,0,0,103,0,,decline
2023-11-20,8099,N,,0,0,103,0,,decline
2023-11-20,8099,N,,0,0,103,0,,decline
2023-12-28,5999,N,,0,0,103,0,,decline
2024-01-07,5999,N,,0,0,103,0,,decline
2024-01-07,5999,N,,0,0,103,0,,decline
2023-12-31,5311,N,,0,0,103,0,,decline
2023-10-31,5734,N,,0,0,103,0,,decline
2023-11-18,5999,N,,0,0,103,0,,decline
2023-11-30,5691,N,,0,0,103,0,,decline
2024-01-17,5651,N,,0,0,103,0,,decline
2024-01-17,5651,N,,0,0,103,0,,decline
2024-01-17,5651,N,,0,0,103,0,,decline
2024-01-27,9399,N,,0,0,103,0,,decline
2024-01-10,7372,N,,0,0,103,0,,decline
2024-01-25,5999,N,,0,0,103,0,,decline
2023-12-07,5999,N,,0,0,103,0,,decline
2023-11-09,5812,N,,0,0,103,0,,decline
2024-01-04,7399,N,,0,0,103,0,,decline
2024-01-04,7399,N,,0,0,103,0,,decline
2024-01-04,7399,N,,0,0,103,0,,decline
2023-11-11,5999,N,,0,0,103,0,,decline
2023-11-30,4899,N,,0,0,103,0,,decline
2023-11-30,5818,N,,0,0,103,0,,decline
2023-11-30,4899,N,,0,0,103,0,,decline
2024-01-08,7399,N,,0,0,103,0,,decline
2023-12-07,5999,N,,0,0,103,0,,decline
2023-11-19,7372,N,,0,0,103,0,,decline
2023-12-22,5815,N,,0,0,103,0,,decline
2023-12-22,5815,N,,0,0,103,0,,decline
2024-01-04,5818,N,,0,0,103,0,,decline
2024-01-07,5734,N,,0,0,103,0,,decline
2024-01-07,5734,N,,0,0,103,0,,decline
2024-01-07,4816,N,,0,0,103,0,,decline
2024-01-07,5944,N,,0,0,103,0,,decline
2024-01-07,5944,N,,0,0,103,0,,decline
2024-01-07,5818,N,,0,0,103,0,,decline
2024-01-07,5944,N,,0,0,103,0,,decline
2024-01-07,5944,N,,0,0,103,0,,decline
2024-01-07,5818,N,,0,0,103,0,,decline
2023-11-07,5661,N,,0,0,103,0,,decline
2023-11-11,8398,N,,0,0,103,0,,decline
2023-11-29,5999,N,,0,0,103,0,,decline
2023-12-11,5999,N,,0,0,103,0,,decline
2024-01-16,5999,N,,0,0,103,0,,decline
2023-11-20,5977,N,,0,0,103,0,,decline
2024-01-04,7339,N,,0,0,103,0,,decline
2023-12-31,5999,N,,0,0,103,0,,decline
2023-11-19,5999,N,,0,0,103,0,,decline
2023-11-23,5999,N,,0,0,103,0,,decline
2023-11-11,5999,N,,0,0,103,0,,decline
2023-11-16,5999,N,,0,0,103,0,,decline
2023-12-19,5816,N,,0,0,103,0,,decline
2023-11-21,5816,N,,0,0,103,0,,decline
2023-12-29,5999,N,,0,0,103,0,,decline
2023-12-30,5967,N,,0,0,103,0,,decline
2023-12-30,5967,N,,0,0,103,0,,decline
2023-12-30,5967,N,,0,0,103,0,,decline
2023-12-30,5967,N,,0,0,103,0,,decline
